Date,Open,High,Low,Close,Adj Close,Volume
11-04-2014,18.535713,18.672501,18.469286,18.557501,16.366592,271717600
14-04-2014,18.639286,18.648571,18.471786,18.63143,16.431789,205674000
15-04-2014,18.581072,18.629999,18.261786,18.498571,16.314615,266490000
16-04-2014,18.501785,18.610357,18.362143,18.536072,16.347689,214765600
17-04-2014,18.571428,18.848572,18.542856,18.747856,16.53447,284334400
21-04-2014,18.762142,19.004999,18.712856,18.970358,16.730703,182548800
22-04-2014,18.868214,18.993929,18.803572,18.989286,16.747396,202563200
23-04-2014,18.895,18.968929,18.730356,18.741072,16.528492,394940000
24-04-2014,20.293215,20.357143,20.026072,20.2775,17.883528,759911600
25-04-2014,20.161785,20.428213,20.14143,20.42643,18.014875,390275200
28-04-2014,20.457144,21.276787,20.448214,21.217501,18.712549,669485600
29-04-2014,21.205,21.285,21.053928,21.154642,18.657106,337377600
30-04-2014,21.165714,21.408215,21.064285,21.074642,18.586557,456640800
01-05-2014,21.142857,21.242857,20.941429,21.124287,18.630335,244048000
02-05-2014,21.155001,21.22143,21.061071,21.16357,18.664986,191514400
05-05-2014,21.076429,21.464287,21.071428,21.462856,18.928938,287067200
06-05-2014,21.492857,21.586071,21.22893,21.22893,18.722628,374564400
07-05-2014,21.258928,21.331785,20.990356,21.154642,18.657106,282864400
08-05-2014,21.008928,21.22893,20.942858,20.999643,18.623852,230297200
09-05-2014,20.876429,20.9375,20.72607,20.912144,18.546247,291597600
12-05-2014,20.981787,21.202143,20.978571,21.172501,18.777159,213208800
13-05-2014,21.142857,21.23357,21.09643,21.205713,18.806608,159737200
14-05-2014,21.158215,21.335714,21.133572,21.209642,18.810101,166404000
15-05-2014,21.239286,21.307142,21.001429,21.029285,18.650143,230846000
16-05-2014,21.022499,21.340357,20.907143,21.339643,18.925388,276256400
19-05-2014,21.351786,21.690357,21.333214,21.592501,19.149635,317755200
20-05-2014,21.589643,21.657143,21.454643,21.596786,19.153439,234836000
21-05-2014,21.565357,21.667856,21.502144,21.653929,19.204115,196859600
22-05-2014,21.664286,21.780357,21.575001,21.688213,19.234518,200760000
23-05-2014,21.6875,21.954643,21.659643,21.933214,19.451809,232209600
27-05-2014,21.995714,22.352142,21.986786,22.343929,19.816048,348866000
28-05-2014,22.357857,22.493929,22.277857,22.286072,19.764744,315481600
29-05-2014,22.423214,22.745358,22.420357,22.692142,20.124865,376474000
30-05-2014,22.785,23.006071,22.460714,22.607143,20.049492,564020800
02-06-2014,22.64143,22.672501,22.232143,22.451786,19.911703,369350800
03-06-2014,22.445,22.812143,22.4375,22.769285,20.193285,292709200
04-06-2014,22.765715,23.138929,22.718214,23.029285,20.423872,335482000
05-06-2014,23.078571,23.191786,22.950357,23.119642,20.504002,303805600
06-06-2014,23.210714,23.259287,23.016787,23.05607,20.447626,349938400
09-06-2014,23.174999,23.469999,22.9375,23.424999,20.774817,301660000
10-06-2014,23.682501,23.762501,23.3925,23.5625,20.896757,251108000
11-06-2014,23.532499,23.690001,23.3675,23.465,20.810293,182724000
12-06-2014,23.51,23.530001,22.975,23.0725,20.462193,218996000
13-06-2014,23.049999,23.110001,22.719999,22.82,20.238264,218100000
16-06-2014,22.877501,23.1875,22.862499,23.049999,20.442245,142244000
17-06-2014,23.077499,23.174999,22.950001,23.02,20.415638,118904000
18-06-2014,23.067499,23.0725,22.8375,23.045,20.437815,134056000
19-06-2014,23.0725,23.075001,22.834999,22.965,20.366863,142112000
20-06-2014,22.9625,23.137501,22.725,22.727501,20.156229,403592000
23-06-2014,22.83,22.905001,22.65,22.7075,20.138494,174776000
24-06-2014,22.6875,22.934999,22.547501,22.57,20.016548,156144000
25-06-2014,22.5525,22.674999,22.4125,22.59,20.034279,147476000
26-06-2014,22.592501,22.762501,22.450001,22.725,20.154011,130516000
27-06-2014,22.705,23,22.692499,22.995001,20.393463,256116000
30-06-2014,23.025,23.432501,23.022499,23.2325,20.604097,197929200
01-07-2014,23.379999,23.5175,23.282499,23.379999,20.734905,152892000
02-07-2014,23.467501,23.514999,23.272499,23.370001,20.726046,113860000
03-07-2014,23.4175,23.525,23.299999,23.5075,20.847988,91567200
07-07-2014,23.535,23.997499,23.525,23.9925,21.278112,225872000
08-07-2014,24.067499,24.200001,23.48,23.8375,21.140652,260888000
09-07-2014,23.860001,23.987499,23.690001,23.8475,21.149521,145744000
10-07-2014,23.440001,23.887501,23.379999,23.76,21.071922,158744000
11-07-2014,23.84,23.9725,23.715,23.805,21.111826,136072000
14-07-2014,23.965,24.2225,23.9125,24.112499,21.384535,171240000
15-07-2014,24.200001,24.2125,23.7575,23.83,21.133997,181911600
16-07-2014,24.2425,24.275,23.684999,23.695,21.014265,213585200
17-07-2014,23.7575,23.82,23.1425,23.272499,20.639572,229192000
18-07-2014,23.405001,23.684999,23.254999,23.6075,20.936672,199952000
21-07-2014,23.747499,23.75,23.43,23.485001,20.828026,156316000
22-07-2014,23.67,23.7225,23.530001,23.68,21.000969,220788000
23-07-2014,23.855,24.469999,23.7925,24.297501,21.548605,371672000
24-07-2014,24.26,24.33,24.105,24.2575,21.513132,182916000
25-07-2014,24.2125,24.459999,24.16,24.4175,21.655029,173876000
28-07-2014,24.455,24.809999,24.387501,24.754999,21.954344,221272000
29-07-2014,24.8325,24.860001,24.5625,24.594999,21.812449,172572000
30-07-2014,24.610001,24.674999,24.4175,24.5375,21.761456,132040000
31-07-2014,24.290001,24.362499,23.8325,23.9,21.196074,227372000
01-08-2014,23.725,24.155001,23.702499,24.032499,21.313587,194044000
04-08-2014,24.092501,24.145,23.7925,23.897499,21.193863,159832000
05-08-2014,23.84,23.92,23.59,23.780001,21.089657,223732000
06-08-2014,23.6875,23.870001,23.6775,23.74,21.05418,154232000
